TRDMNT,mom6m_g10,Count,mom6m,Ew_ret,Vw_ret
200004,4,86.0,-0.47404428316934705,0.11626614151196617,0.7785293245815932
200004,5,86.0,-0.3166655071750897,0.03527490656138276,0.4890325619820941
200004,6,86.0,-0.13724176373229732,0.006547688228504092,-0.4183196449391406
200004,7,86.0,0.05178349430437546,-0.13584212481450944,-21.528408922494187
200004,8,86.0,0.3592130446880949,-0.025538125925100675,-1.618545101681445
200004,9,86.0,0.9343632102211838,0.051276592612800556,-0.17927414788912238
200004,10,86.0,2.238354875684335,0.10885638102967277,-0.4929819711229638
200004,high_low,,,0.2063693763044937,0.3214610345931611
200005,1,87.0,-1.1977167615812498,-0.0815339675907501,-0.03372263719411898
200005,2,86.0,-0.8111372462695517,-0.01405928228916392,9.872916351845937
200005,3,86.0,-0.6332224641386933,0.03129644228312088,12.226783945079465
200005,4,86.0,-0.4865211734218621,-0.0009704373052575566,0.10128058525140865
200005,5,86.0,-0.3575423959683617,0.024956196191280935,0.23635416655375424
200005,6,86.0,-0.20767764245261092,0.24177667182868598,1.194009710631961
200005,7,86.0,0.07161641484058984,0.0488467547678611,1.7306924718521195
200005,8,86.0,0.4366322918578794,-0.10747406812109328,-0.7051898984018153
200005,9,86.0,0.9598104732780907,0.02078933753276951,-0.2926581445107543
200005,10,87.0,2.2327610529089466,-0.23749907421439354,-0.45920190618729817
200005,high_low,,,-0.15596510662364343,-0.42547926899317917
200006,1,88.0,-1.2051110941091536,0.2389201908785935,0.621080241429028
200006,2,87.0,-0.8290595303397315,0.19611736609491387,-0.5500870998395393
200006,3,87.0,-0.6534014743188643,0.19999879946030763,0.004584197564553101
200006,4,87.0,-0.5278503908046535,0.062265348391616016,-2.9858982993473058
200006,5,87.0,-0.37834710484238104,0.0484562833181612,-0.6344760770566273
200006,6,87.0,-0.18851368449670225,-0.0675461370565721,1.861832406305185
200006,7,87.0,0.06940917734577089,0.05849373160115347,0.5361171048834172
200006,8,87.0,0.5143189262987861,-0.08538954993587712,-0.9046951676567055
200006,9,87.0,1.0050882956825837,-0.1955483570800976,-0.33456938961639415
200006,10,87.0,2.2073187312407723,-0.4097742224375071,-0.7119518726162462
200006,high_low,,,-0.6486944133161006,-1.333032114045274
200007,1,88.0,-1.1805285075272245,0.2582938492297806,1.148352458029703
200007,2,88.0,-0.8311266983552131,0.12421155857120544,1.6017082951192414
